,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
19,23.0,10.0,8.0,13.0,8.0,24.0,24.0,10.0,24.0,9.0,24.0,9.0,13.0,21.0,24.0,24.0,22.0,20.0,5.0,2.0,7.0,11.0,6.0,5.0,24.0,24.0,22.0,10.0,23.0,21.0,8.0,5.0,3.0,20.0,24.0
20,15.0,15.0,15.0,12.0,7.0,24.0,22.0,9.0,12.0,11.0,18.0,12.0,24.0,24.0,24.0,24.0,24.0,21.0,4.0,3.0,4.0,3.0,9.0,13.0,22.0,21.0,22.0,12.0,23.0,7.0,17.0,13.0,14.0,7.0,23.0
21,24.0,11.0,11.0,8.0,8.0,24.0,24.0,12.0,24.0,9.0,18.0,7.0,23.0,17.0,24.0,23.0,23.0,24.0,5.0,3.0,2.0,3.0,3.0,15.0,16.0,24.0,24.0,17.0,14.0,13.0,10.0,15.0,7.0,24.0,21.0
22,17.0,9.0,15.0,16.0,13.0,16.0,24.0,18.0,13.0,15.0,18.0,18.0,16.0,12.0,13.0,12.0,19.0,19.0,9.0,12.0,20.0,10.0,14.0,17.0,18.0,14.0,15.0,14.0,15.0,20.0,13.0,14.0,11.0,10.0,21.0
23,24.0,7.0,11.0,16.0,5.0,24.0,23.0,18.0,24.0,15.0,17.0,16.0,8.0,12.0,24.0,22.0,21.0,24.0,7.0,2.0,4.0,13.0,6.0,19.0,22.0,17.0,14.0,11.0,24.0,24.0,9.0,14.0,5.0,4.0,24.0
24,24.0,16.0,9.0,10.0,8.0,19.0,24.0,17.0,21.0,8.0,14.0,16.0,10.0,24.0,24.0,24.0,24.0,15.0,5.0,5.0,7.0,10.0,8.0,5.0,24.0,24.0,24.0,7.0,24.0,24.0,5.0,5.0,6.0,16.0,24.0
25,9.0,18.0,15.0,19.0,18.0,15.0,16.0,14.0,15.0,17.0,15.0,14.0,19.0,16.0,24.0,16.0,18.0,5.0,16.0,12.0,13.0,14.0,9.0,24.0,17.0,12.0,11.0,15.0,13.0,13.0,15.0,13.0,15.0,16.0,19.0
26,15.0,12.0,11.0,14.0,17.0,21.0,20.0,9.0,24.0,18.0,9.0,22.0,12.0,16.0,18.0,8.0,20.0,19.0,16.0,11.0,12.0,13.0,10.0,17.0,17.0,19.0,15.0,11.0,16.0,18.0,8.0,15.0,14.0,12.0,21.0
27,21.0,8.0,15.0,16.0,11.0,21.0,18.0,10.0,15.0,21.0,18.0,14.0,19.0,13.0,16.0,10.0,17.0,23.0,7.0,14.0,17.0,15.0,19.0,19.0,5.0,20.0,18.0,6.0,18.0,24.0,6.0,13.0,15.0,4.0,24.0
28,20.0,6.0,13.0,9.0,15.0,23.0,24.0,8.0,24.0,22.0,24.0,17.0,6.0,9.0,24.0,21.0,24.0,24.0,5.0,3.0,3.0,13.0,13.0,6.0,17.0,23.0,19.0,11.0,24.0,19.0,14.0,6.0,12.0,5.0,24.0
29,11.0,13.0,14.0,11.0,13.0,24.0,24.0,15.0,18.0,10.0,11.0,10.0,22.0,24.0,24.0,24.0,24.0,7.0,9.0,11.0,5.0,2.0,10.0,10.0,24.0,20.0,17.0,19.0,19.0,21.0,14.0,6.0,22.0,13.0,9.0
30,18.0,19.0,15.0,20.0,13.0,12.0,13.0,15.0,19.0,18.0,17.0,13.0,15.0,13.0,14.0,22.0,15.0,10.0,16.0,9.0,18.0,16.0,14.0,16.0,21.0,8.0,16.0,11.0,15.0,14.0,12.0,20.0,17.0,18.0,8.0
31,24.0,6.0,7.0,8.0,17.0,24.0,24.0,15.0,24.0,19.0,20.0,16.0,6.0,10.0,19.0,21.0,18.0,24.0,9.0,7.0,6.0,19.0,12.0,6.0,18.0,17.0,19.0,11.0,23.0,21.0,4.0,16.0,12.0,4.0,24.0
32,14.0,10.0,16.0,14.0,8.0,24.0,24.0,12.0,9.0,10.0,17.0,14.0,24.0,24.0,24.0,24.0,24.0,24.0,3.0,3.0,2.0,3.0,7.0,5.0,22.0,21.0,24.0,20.0,24.0,13.0,7.0,11.0,13.0,12.0,24.0
33,22.0,10.0,10.0,8.0,12.0,24.0,24.0,8.0,20.0,24.0,17.0,24.0,7.0,10.0,24.0,20.0,21.0,24.0,7.0,3.0,5.0,3.0,22.0,12.0,16.0,24.0,21.0,4.0,22.0,24.0,11.0,6.0,6.0,11.0,24.0
34,17.0,11.0,8.0,24.0,5.0,21.0,24.0,8.0,18.0,15.0,21.0,7.0,20.0,21.0,24.0,24.0,18.0,9.0,10.0,8.0,11.0,6.0,9.0,24.0,24.0,9.0,10.0,20.0,24.0,18.0,4.0,18.0,5.0,24.0,11.0
35,6.0,12.0,3.0,19.0,24.0,23.0,23.0,10.0,17.0,12.0,9.0,14.0,24.0,24.0,24.0,24.0,18.0,22.0,4.0,6.0,6.0,3.0,9.0,17.0,21.0,21.0,24.0,7.0,24.0,12.0,11.0,11.0,12.0,10.0,24.0
36,21.0,18.0,16.0,8.0,16.0,14.0,17.0,15.0,12.0,13.0,24.0,14.0,14.0,18.0,21.0,21.0,15.0,14.0,14.0,13.0,6.0,18.0,12.0,6.0,13.0,15.0,21.0,17.0,16.0,14.0,9.0,21.0,17.0,9.0,18.0
37,24.0,8.0,10.0,19.0,7.0,19.0,23.0,11.0,14.0,20.0,24.0,8.0,15.0,18.0,23.0,23.0,23.0,23.0,2.0,2.0,8.0,6.0,3.0,20.0,24.0,24.0,19.0,6.0,24.0,20.0,6.0,4.0,6.0,20.0,24.0
38,24.0,11.0,14.0,7.0,6.0,24.0,24.0,9.0,21.0,12.0,21.0,12.0,15.0,20.0,24.0,23.0,19.0,13.0,12.0,4.0,9.0,1.0,2.0,16.0,24.0,18.0,21.0,20.0,22.0,18.0,7.0,8.0,3.0,24.0,22.0
39,9.0,16.0,17.0,19.0,17.0,18.0,14.0,17.0,11.0,13.0,13.0,13.0,19.0,24.0,24.0,20.0,17.0,11.0,12.0,10.0,10.0,5.0,16.0,21.0,21.0,9.0,8.0,22.0,18.0,15.0,16.0,13.0,6.0,17.0,19.0
40,24.0,15.0,8.0,7.0,12.0,24.0,20.0,6.0,16.0,16.0,12.0,12.0,24.0,24.0,24.0,24.0,24.0,4.0,7.0,15.0,6.0,3.0,10.0,16.0,14.0,24.0,23.0,12.0,24.0,24.0,9.0,12.0,7.0,7.0,21.0
41,20.0,13.0,16.0,12.0,10.0,18.0,21.0,10.0,21.0,18.0,15.0,12.0,12.0,22.0,24.0,24.0,15.0,18.0,7.0,5.0,11.0,3.0,8.0,24.0,14.0,17.0,15.0,21.0,18.0,16.0,8.0,15.0,2.0,21.0,24.0
42,24.0,13.0,13.0,5.0,7.0,24.0,24.0,15.0,19.0,17.0,24.0,7.0,19.0,9.0,24.0,22.0,15.0,24.0,8.0,4.0,7.0,10.0,12.0,8.0,24.0,12.0,17.0,19.0,24.0,15.0,14.0,7.0,14.0,6.0,24.0
43,24.0,7.0,19.0,7.0,11.0,24.0,18.0,14.0,24.0,10.0,11.0,15.0,24.0,12.0,24.0,22.0,24.0,15.0,6.0,5.0,8.0,4.0,12.0,16.0,17.0,17.0,23.0,13.0,20.0,24.0,18.0,4.0,7.0,7.0,24.0
44,24.0,13.0,10.0,13.0,4.0,23.0,23.0,13.0,22.0,13.0,18.0,12.0,12.0,20.0,17.0,24.0,24.0,19.0,12.0,6.0,2.0,6.0,6.0,19.0,18.0,24.0,12.0,17.0,17.0,24.0,10.0,10.0,15.0,8.0,20.0
45,10.0,18.0,12.0,16.0,9.0,24.0,21.0,10.0,12.0,20.0,14.0,18.0,12.0,24.0,24.0,24.0,17.0,20.0,6.0,6.0,7.0,10.0,12.0,10.0,15.0,16.0,20.0,19.0,21.0,21.0,11.0,0.0,11.0,22.0,18.0
46,20.0,10.0,11.0,11.0,13.0,21.0,24.0,15.0,22.0,8.0,24.0,11.0,10.0,20.0,24.0,24.0,24.0,16.0,8.0,5.0,3.0,3.0,2.0,17.0,24.0,24.0,17.0,15.0,24.0,23.0,8.0,14.0,6.0,9.0,20.0
47,19.0,15.0,11.0,16.0,8.0,17.0,24.0,9.0,10.0,19.0,19.0,12.0,17.0,24.0,21.0,24.0,20.0,17.0,4.0,10.0,8.0,9.0,14.0,14.0,19.0,14.0,24.0,8.0,15.0,15.0,9.0,11.0,15.0,15.0,24.0
48,24.0,6.0,12.0,7.0,23.0,14.0,24.0,5.0,19.0,16.0,20.0,12.0,20.0,18.0,23.0,21.0,24.0,24.0,6.0,4.0,2.0,12.0,15.0,6.0,21.0,24.0,19.0,5.0,22.0,13.0,15.0,20.0,10.0,6.0,18.0
49,14.0,16.0,10.0,6.0,16.0,24.0,24.0,24.0,24.0,9.0,11.0,11.0,15.0,16.0,22.0,24.0,20.0,7.0,7.0,16.0,8.0,3.0,13.0,10.0,19.0,20.0,24.0,13.0,20.0,19.0,8.0,12.0,11.0,15.0,19.0
50,24.0,8.0,15.0,9.0,10.0,24.0,20.0,9.0,9.0,17.0,24.0,5.0,22.0,24.0,24.0,23.0,22.0,8.0,8.0,4.0,15.0,2.0,16.0,16.0,17.0,16.0,16.0,19.0,18.0,13.0,11.0,13.0,7.0,20.0,22.0
51,18.0,5.0,17.0,12.0,11.0,23.0,24.0,14.0,19.0,19.0,24.0,11.0,11.0,12.0,24.0,22.0,22.0,15.0,12.0,8.0,1.0,10.0,8.0,7.0,24.0,19.0,24.0,10.0,22.0,16.0,4.0,13.0,11.0,14.0,24.0
52,23.0,8.0,10.0,11.0,11.0,24.0,23.0,14.0,24.0,24.0,19.0,7.0,6.0,16.0,24.0,20.0,15.0,20.0,6.0,15.0,4.0,20.0,15.0,16.0,13.0,21.0,15.0,2.0,21.0,21.0,0.0,5.0,17.0,19.0,21.0
53,19.0,9.0,17.0,15.0,15.0,19.0,16.0,18.0,18.0,10.0,11.0,14.0,21.0,18.0,23.0,24.0,11.0,13.0,10.0,12.0,11.0,9.0,19.0,17.0,11.0,12.0,19.0,15.0,17.0,9.0,16.0,8.0,24.0,10.0,20.0
54,17.0,7.0,24.0,4.0,12.0,24.0,22.0,8.0,3.0,13.0,22.0,16.0,24.0,24.0,24.0,24.0,21.0,14.0,11.0,3.0,7.0,2.0,6.0,24.0,23.0,22.0,13.0,12.0,21.0,12.0,16.0,5.0,13.0,18.0,19.0
55,24.0,10.0,10.0,8.0,12.0,22.0,24.0,10.0,24.0,22.0,20.0,13.0,10.0,11.0,24.0,21.0,21.0,24.0,6.0,5.0,3.0,16.0,11.0,5.0,22.0,11.0,22.0,15.0,24.0,15.0,13.0,12.0,11.0,6.0,23.0
56,16.0,16.0,12.0,8.0,16.0,21.0,21.0,10.0,17.0,14.0,24.0,12.0,20.0,13.0,21.0,23.0,10.0,24.0,8.0,11.0,7.0,24.0,7.0,5.0,14.0,19.0,17.0,16.0,24.0,20.0,11.0,8.0,11.0,10.0,20.0
57,13.0,5.0,7.0,23.0,17.0,24.0,21.0,24.0,9.0,17.0,10.0,4.0,24.0,22.0,21.0,24.0,14.0,15.0,7.0,14.0,9.0,6.0,12.0,15.0,20.0,17.0,16.0,16.0,24.0,16.0,9.0,16.0,5.0,14.0,20.0
58,24.0,10.0,8.0,14.0,12.0,18.0,24.0,19.0,9.0,20.0,22.0,6.0,10.0,24.0,19.0,24.0,24.0,17.0,9.0,4.0,7.0,2.0,4.0,10.0,24.0,24.0,16.0,22.0,15.0,21.0,4.0,12.0,15.0,15.0,22.0
59,17.0,17.0,7.0,12.0,11.0,22.0,24.0,14.0,15.0,14.0,13.0,18.0,22.0,14.0,17.0,21.0,16.0,16.0,7.0,11.0,16.0,4.0,11.0,17.0,21.0,24.0,8.0,17.0,22.0,9.0,9.0,9.0,11.0,20.0,24.0
60,18.0,6.0,19.0,10.0,10.0,23.0,24.0,2.0,22.0,15.0,18.0,13.0,18.0,22.0,24.0,24.0,24.0,17.0,6.0,5.0,4.0,4.0,8.0,18.0,3.0,22.0,24.0,23.0,24.0,14.0,11.0,8.0,16.0,10.0,21.0
61,13.0,17.0,5.0,17.0,11.0,24.0,23.0,3.0,17.0,20.0,20.0,16.0,21.0,13.0,24.0,24.0,20.0,9.0,4.0,12.0,11.0,7.0,1.0,18.0,20.0,21.0,20.0,15.0,24.0,14.0,8.0,16.0,12.0,14.0,16.0
62,20.0,10.0,8.0,12.0,16.0,20.0,24.0,10.0,11.0,24.0,9.0,9.0,24.0,23.0,23.0,24.0,20.0,12.0,6.0,11.0,8.0,3.0,1.0,20.0,23.0,13.0,21.0,21.0,24.0,7.0,8.0,6.0,15.0,20.0,24.0
63,11.0,19.0,16.0,15.0,16.0,9.0,24.0,14.0,12.0,20.0,14.0,12.0,24.0,14.0,16.0,19.0,16.0,16.0,18.0,8.0,11.0,6.0,14.0,14.0,17.0,16.0,17.0,18.0,16.0,10.0,10.0,22.0,12.0,15.0,19.0
64,24.0,6.0,10.0,17.0,16.0,20.0,17.0,17.0,17.0,19.0,22.0,18.0,6.0,11.0,24.0,15.0,13.0,21.0,4.0,18.0,9.0,14.0,16.0,14.0,19.0,22.0,16.0,1.0,19.0,21.0,3.0,16.0,21.0,5.0,19.0
65,15.0,6.0,22.0,12.0,20.0,20.0,15.0,20.0,19.0,19.0,19.0,4.0,11.0,18.0,20.0,24.0,20.0,17.0,3.0,10.0,10.0,19.0,3.0,20.0,18.0,11.0,19.0,12.0,22.0,16.0,10.0,14.0,6.0,12.0,24.0
66,24.0,7.0,9.0,14.0,9.0,24.0,23.0,23.0,14.0,19.0,20.0,10.0,17.0,7.0,24.0,24.0,19.0,24.0,2.0,6.0,5.0,4.0,5.0,23.0,24.0,24.0,15.0,7.0,24.0,17.0,15.0,4.0,6.0,14.0,24.0
67,12.0,19.0,11.0,16.0,20.0,16.0,16.0,17.0,15.0,13.0,19.0,13.0,20.0,13.0,17.0,12.0,21.0,15.0,10.0,13.0,16.0,5.0,12.0,15.0,20.0,17.0,24.0,9.0,14.0,20.0,12.0,18.0,14.0,12.0,14.0
68,12.0,17.0,21.0,14.0,15.0,14.0,17.0,9.0,15.0,17.0,9.0,20.0,20.0,20.0,22.0,15.0,15.0,15.0,15.0,6.0,16.0,2.0,11.0,20.0,18.0,16.0,20.0,15.0,24.0,13.0,15.0,15.0,10.0,12.0,15.0
69,14.0,13.0,10.0,13.0,18.0,21.0,21.0,14.0,20.0,8.0,13.0,17.0,16.0,22.0,23.0,24.0,11.0,14.0,8.0,12.0,12.0,7.0,15.0,16.0,17.0,18.0,15.0,14.0,23.0,10.0,16.0,18.0,14.0,20.0,3.0
70,21.0,20.0,13.0,9.0,6.0,24.0,17.0,13.0,20.0,13.0,14.0,19.0,13.0,18.0,17.0,21.0,14.0,23.0,9.0,10.0,10.0,20.0,10.0,11.0,24.0,14.0,13.0,10.0,19.0,15.0,16.0,10.0,18.0,12.0,14.0
71,24.0,7.0,18.0,8.0,9.0,20.0,24.0,20.0,24.0,10.0,5.0,21.0,10.0,20.0,24.0,19.0,24.0,21.0,2.0,9.0,5.0,13.0,4.0,19.0,15.0,20.0,18.0,13.0,23.0,13.0,10.0,4.0,17.0,13.0,24.0
72,24.0,8.0,12.0,15.0,11.0,19.0,21.0,10.0,14.0,13.0,16.0,16.0,17.0,24.0,22.0,23.0,24.0,11.0,10.0,4.0,10.0,7.0,11.0,16.0,17.0,24.0,23.0,4.0,24.0,20.0,9.0,12.0,13.0,11.0,15.0
73,24.0,12.0,11.0,18.0,6.0,18.0,21.0,21.0,21.0,24.0,17.0,14.0,1.0,12.0,19.0,18.0,20.0,24.0,7.0,10.0,6.0,15.0,6.0,3.0,19.0,20.0,24.0,15.0,24.0,22.0,5.0,12.0,15.0,8.0,18.0
74,21.0,15.0,18.0,15.0,14.0,15.0,12.0,14.0,11.0,15.0,24.0,13.0,19.0,14.0,19.0,24.0,17.0,10.0,17.0,7.0,10.0,19.0,16.0,9.0,12.0,19.0,11.0,16.0,24.0,14.0,12.0,10.0,11.0,17.0,16.0
75,24.0,14.0,14.0,20.0,12.0,12.0,14.0,10.0,13.0,20.0,10.0,15.0,24.0,18.0,24.0,21.0,20.0,16.0,8.0,7.0,8.0,11.0,14.0,12.0,19.0,20.0,9.0,17.0,13.0,13.0,17.0,20.0,6.0,21.0,14.0
76,18.0,18.0,8.0,9.0,14.0,23.0,20.0,12.0,13.0,18.0,16.0,10.0,17.0,24.0,12.0,18.0,24.0,15.0,10.0,8.0,17.0,14.0,11.0,11.0,16.0,13.0,24.0,13.0,16.0,21.0,18.0,13.0,1.0,14.0,21.0
77,21.0,9.0,13.0,9.0,21.0,24.0,13.0,17.0,19.0,15.0,17.0,7.0,15.0,20.0,12.0,16.0,21.0,20.0,13.0,11.0,11.0,17.0,9.0,11.0,24.0,8.0,18.0,15.0,21.0,24.0,11.0,12.0,9.0,11.0,16.0
