,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,18.0,13.0,15.0,15.0,12.0,24.0,13.0,12.0,24.0,9.0,12.0,11.0,18.0,24.0,19.0,17.0,20.0,16.0,8.0,3.0,21.0,12.0,24.0,8.0,18.0,21.0,7.0,12.0,24.0,17.0,6.0,9.0,11.0,13.0,24.0
1,14.0,9.0,24.0,8.0,23.0,15.0,17.0,17.0,12.0,9.0,12.0,16.0,22.0,22.0,21.0,24.0,24.0,10.0,5.0,5.0,15.0,12.0,24.0,11.0,16.0,15.0,16.0,8.0,8.0,7.0,16.0,18.0,24.0,16.0,15.0
2,21.0,10.0,13.0,10.0,14.0,24.0,18.0,16.0,18.0,13.0,16.0,16.0,22.0,9.0,24.0,12.0,21.0,24.0,3.0,9.0,11.0,7.0,12.0,6.0,12.0,20.0,24.0,21.0,13.0,18.0,4.0,17.0,20.0,17.0,15.0
3,24.0,9.0,8.0,21.0,7.0,19.0,22.0,23.0,14.0,18.0,9.0,24.0,2.0,20.0,24.0,20.0,23.0,18.0,5.0,5.0,9.0,24.0,9.0,7.0,13.0,18.0,16.0,15.0,24.0,12.0,6.0,4.0,23.0,11.0,24.0
4,22.0,5.0,24.0,13.0,24.0,17.0,5.0,7.0,24.0,24.0,10.0,20.0,8.0,17.0,24.0,14.0,24.0,23.0,6.0,4.0,9.0,15.0,20.0,0.0,23.0,17.0,16.0,11.0,22.0,23.0,1.0,6.0,13.0,15.0,24.0
5,24.0,7.0,12.0,8.0,19.0,23.0,17.0,16.0,17.0,15.0,16.0,13.0,19.0,14.0,19.0,18.0,12.0,23.0,2.0,9.0,21.0,5.0,14.0,11.0,12.0,17.0,24.0,19.0,11.0,18.0,8.0,18.0,24.0,12.0,13.0
6,11.0,9.0,12.0,20.0,10.0,24.0,24.0,8.0,19.0,9.0,20.0,12.0,21.0,21.0,24.0,24.0,8.0,6.0,18.0,10.0,14.0,7.0,21.0,10.0,17.0,24.0,8.0,15.0,24.0,18.0,14.0,5.0,8.0,11.0,24.0
7,10.0,12.0,14.0,23.0,17.0,17.0,17.0,22.0,16.0,16.0,17.0,20.0,0.0,19.0,23.0,21.0,21.0,18.0,4.0,9.0,8.0,13.0,14.0,10.0,12.0,18.0,13.0,22.0,24.0,24.0,9.0,9.0,22.0,7.0,9.0
8,12.0,17.0,10.0,14.0,17.0,18.0,22.0,22.0,11.0,15.0,17.0,17.0,16.0,12.0,11.0,24.0,13.0,21.0,16.0,11.0,8.0,12.0,11.0,13.0,24.0,11.0,20.0,11.0,17.0,17.0,7.0,19.0,4.0,20.0,20.0
9,12.0,12.0,11.0,12.0,19.0,24.0,20.0,15.0,24.0,6.0,16.0,11.0,18.0,20.0,20.0,17.0,24.0,11.0,7.0,16.0,9.0,13.0,20.0,6.0,22.0,24.0,10.0,7.0,24.0,19.0,5.0,17.0,12.0,15.0,12.0
10,16.0,15.0,22.0,16.0,12.0,6.0,23.0,11.0,14.0,20.0,16.0,17.0,13.0,19.0,24.0,21.0,24.0,17.0,3.0,1.0,14.0,3.0,1.0,18.0,24.0,22.0,24.0,10.0,7.0,11.0,12.0,24.0,18.0,12.0,20.0
11,18.0,13.0,11.0,15.0,13.0,16.0,24.0,24.0,22.0,11.0,10.0,21.0,12.0,10.0,24.0,24.0,18.0,9.0,10.0,9.0,10.0,18.0,11.0,9.0,24.0,24.0,12.0,4.0,24.0,18.0,15.0,5.0,10.0,16.0,16.0
12,18.0,11.0,18.0,15.0,11.0,18.0,19.0,10.0,10.0,16.0,22.0,10.0,24.0,18.0,24.0,15.0,17.0,5.0,24.0,8.0,11.0,16.0,17.0,13.0,14.0,24.0,9.0,9.0,22.0,18.0,8.0,8.0,3.0,23.0,22.0
13,17.0,12.0,15.0,12.0,20.0,18.0,16.0,13.0,13.0,12.0,13.0,15.0,22.0,22.0,24.0,24.0,24.0,8.0,3.0,13.0,8.0,8.0,24.0,10.0,12.0,15.0,23.0,10.0,7.0,6.0,17.0,19.0,23.0,22.0,10.0
14,24.0,19.0,14.0,7.0,12.0,18.0,16.0,17.0,13.0,7.0,19.0,9.0,21.0,24.0,23.0,19.0,24.0,18.0,8.0,4.0,8.0,4.0,21.0,11.0,14.0,24.0,22.0,6.0,8.0,21.0,10.0,11.0,6.0,24.0,24.0
15,13.0,19.0,12.0,10.0,11.0,21.0,24.0,24.0,8.0,9.0,18.0,23.0,19.0,9.0,20.0,19.0,17.0,13.0,5.0,15.0,15.0,10.0,10.0,24.0,18.0,17.0,14.0,9.0,24.0,23.0,17.0,3.0,8.0,14.0,15.0
16,17.0,16.0,14.0,16.0,13.0,10.0,24.0,18.0,20.0,7.0,15.0,21.0,20.0,9.0,23.0,24.0,14.0,14.0,10.0,12.0,7.0,17.0,12.0,10.0,24.0,20.0,13.0,6.0,18.0,15.0,16.0,5.0,17.0,17.0,16.0
17,18.0,11.0,12.0,21.0,12.0,14.0,22.0,18.0,20.0,16.0,16.0,16.0,4.0,20.0,24.0,20.0,15.0,24.0,6.0,10.0,5.0,11.0,13.0,16.0,10.0,24.0,21.0,7.0,10.0,18.0,8.0,17.0,19.0,24.0,8.0
18,24.0,14.0,10.0,16.0,11.0,24.0,11.0,14.0,5.0,19.0,22.0,13.0,24.0,13.0,24.0,18.0,11.0,5.0,12.0,22.0,12.0,10.0,16.0,7.0,24.0,19.0,14.0,12.0,24.0,24.0,11.0,8.0,8.0,10.0,19.0
19,22.0,7.0,5.0,24.0,14.0,22.0,16.0,24.0,17.0,19.0,14.0,14.0,4.0,18.0,24.0,22.0,24.0,13.0,7.0,9.0,5.0,24.0,7.0,17.0,16.0,17.0,9.0,12.0,11.0,22.0,15.0,8.0,14.0,11.0,23.0
